iter	Logloss
127	0.5633915895
128	0.5630532247
129	0.5629991391
130	0.5627302902
131	0.5625367952
132	0.5617561613
133	0.5612587311
134	0.5610385659
135	0.5607271283
136	0.5604607334
137	0.5601796323
138	0.5598536772
139	0.5595630081
140	0.5591688254
141	0.5588151392
142	0.5583397409
143	0.5581126967
144	0.5578387091
145	0.5575750976
146	0.557258202
147	0.5570120005
148	0.5564597415
149	0.5562549337
150	0.5556883964
151	0.5555075637
152	0.5551366902
153	0.5549219134
154	0.5544880426
155	0.5542225693
156	0.553957324
157	0.5537022643
158	0.5534607824
159	0.5532096297
160	0.5529677671
161	0.5526515091
162	0.552339439
163	0.5520908966
164	0.5518073227
165	0.5515558085
166	0.5513434658
167	0.5510924313
168	0.550800462
169	0.5505617841
170	0.5503600805
171	0.550152577
172	0.5498319994
173	0.5496380449
174	0.5492296937
175	0.5487914729
176	0.5482382129
177	0.5477471917
178	0.5473883013
179	0.5470611641
180	0.5468296676
181	0.5465691747
182	0.5462280849
183	0.5459265681
184	0.5456481946
185	0.5453384618
186	0.5449049957
187	0.5445744932
188	0.5442720366
189	0.5438312988
190	0.5434112803
191	0.5430598249
192	0.5427187793
193	0.5424147751
194	0.5421343529
195	0.5417363108
196	0.5414810877
197	0.5411789921
198	0.5409020659
199	0.5404743569
200	0.5400405997
201	0.5395837261
202	0.5391846203
203	0.5388488097
204	0.5383122646
205	0.5380609569
206	0.5377014344
207	0.5373228597
208	0.536900236
209	0.5365067888
210	0.5360104242
211	0.5355017168
212	0.5349986222
213	0.5346023505
214	0.534266948
215	0.5339568987
216	0.5334940649
217	0.5331441724
218	0.5328557811
219	0.5324545051
220	0.5320674953
221	0.5316420993
222	0.5313828358
223	0.5309397078
224	0.5305783941
225	0.5301325849
226	0.5298003537
227	0.5295103937
228	0.5290268288
229	0.5288268612
230	0.5283880002
231	0.5280861259
232	0.5278699521
233	0.5275167891
234	0.5271016974
235	0.526708374
236	0.526291105
237	0.5259388211
238	0.5255624529
239	0.525363308
240	0.5251687186
241	0.5244668672
242	0.52413456
243	0.5238768633
244	0.5235599783
245	0.5232128844
246	0.5228739333
247	0.5225058734
248	0.5219441502
249	0.5216946305
250	0.521419196
251	0.5212176989
252	0.5210418176
253	0.5207491692
254	0.5203077965
255	0.5199977183
256	0.5198236666
257	0.5195916218
258	0.5194073005
259	0.5189806144
260	0.5188391604
261	0.5184797077
262	0.5181586037
263	0.5178213687
264	0.5175154239
265	0.5172020437
266	0.5169357924
267	0.5167247333
268	0.5164500067
269	0.5162063136
270	0.5160528362
271	0.5156793552
272	0.5153553471
273	0.5150772983
274	0.5148361417
275	0.5145079075
276	0.5142338924
277	0.5140699221
278	0.5137790536
279	0.513632521
280	0.5134449871
281	0.5132493118
282	0.5129889617
283	0.5127224135
284	0.5122809327
285	0.5120224406
286	0.5117348199
287	0.5115054999
288	0.5112371582
289	0.5110415249
290	0.5107529242
291	0.5106008649
292	0.5103357724
293	0.5101870745
294	0.510043753
295	0.5099469606
296	0.5098170457
297	0.509572678
298	0.5094794335
299	0.5093514975
300	0.5090333236
301	0.5087517909
302	0.5086657906
303	0.5084213124
304	0.5082761681
305	0.5082045446
306	0.5080400819
307	0.5077519521
308	0.5075561656
309	0.5073411126
310	0.5071711289
311	0.5069560361
312	0.5067677312
313	0.5065013353
314	0.5064374787
315	0.5061653932
316	0.5060879814
317	0.5058012741
318	0.5056753553
319	0.5054216959
320	0.5052129513
321	0.504917161
322	0.5047090155
323	0.5046061745
324	0.5040403696
325	0.5038205886
326	0.5036596057
327	0.5035840245
328	0.5035188991
329	0.5034606445
330	0.5033401409
331	0.5032791236
332	0.5032140357
333	0.5030934939
334	0.5029154472
335	0.5027893426
336	0.5025490895
337	0.5023159492
338	0.5022414507
339	0.5021734126
340	0.5021074658
341	0.5020374862
342	0.5019238904
343	0.5018157091
344	0.5016021489
345	0.5014182756
346	0.5011586786
347	0.5009578519
348	0.5006206769
349	0.5005592459
350	0.5004083438
351	0.5003475496
352	0.5001271959
353	0.4998995198
354	0.4997096736
355	0.4996497758
356	0.4995644473
357	0.4994222093
358	0.4988468599
359	0.4986467763
360	0.4985426257
361	0.4983279379
362	0.498165685
363	0.4979640725
364	0.4979050714
365	0.4976165717
366	0.4975557789
367	0.4973866864
368	0.4972682725
369	0.4970399643
370	0.4969527324
371	0.4966981257
372	0.4966368478
373	0.4965784042
374	0.4963565848
375	0.496151709
376	0.4960016284
377	0.4958226457
378	0.4957691333
379	0.495570562
380	0.4954133509
381	0.4953665977
382	0.4951692405
383	0.4951140477
384	0.4949314062
385	0.4948318877
386	0.4945764503
387	0.4945165151
388	0.494467111
389	0.4944196102
390	0.4941488308
391	0.494073249
392	0.4939379942
393	0.4938866855
394	0.4936587345
395	0.493502567
396	0.4933367943
397	0.4932400013
398	0.4931515361
399	0.4930941773
400	0.4930455196
401	0.4928786641
402	0.4925908322
403	0.4924310801
404	0.4922822715
405	0.4921152021
406	0.4919476879
407	0.4918961547
408	0.4917719149
409	0.491568618
410	0.4915228725
411	0.4912101398
412	0.4910434424
413	0.4909983691
414	0.4908979549
415	0.490736972
416	0.4906524651
417	0.4906009318
418	0.4904073126
419	0.4902329102
420	0.4900742055
421	0.4899093015
422	0.4897732992
423	0.4896196
424	0.4895320314
425	0.4894919615
426	0.4894313175
427	0.4893529345
428	0.4892054718
429	0.4890431817
430	0.488894448
431	0.4887052249
432	0.4885584137
433	0.4883903431
434	0.4883429918
435	0.4882130651
436	0.4878699326
437	0.4877276889
438	0.4876600233
439	0.4875061665
440	0.4873698993
441	0.4872924131
442	0.4871604441
443	0.4870195108
444	0.4869611439
445	0.4869083034
446	0.4868579282
447	0.4866975404
448	0.4866512353
449	0.4864859276
450	0.4863618001
451	0.4863162418
452	0.4862317705
453	0.4861081291
454	0.4860593595
455	0.4860124568
456	0.4858434492
457	0.4856871701
458	0.4856116627
459	0.4855707345
460	0.4855284621
461	0.485366727
462	0.4853262468
463	0.4852077957
464	0.485138935
465	0.4850884475
466	0.4850420301
467	0.4848732078
468	0.4848277985
469	0.4846998273
470	0.4846338052
471	0.4845636375
472	0.4844081824
473	0.4843608316
474	0.4842491771
475	0.4841213182
476	0.4840359535
477	0.4838826939
478	0.4838454632
479	0.4838049465
480	0.4837380275
481	0.4835808321
482	0.4834400767
483	0.4833832038
484	0.4832706539
485	0.4831078295
486	0.483065259
487	0.4829342583
488	0.4828106198
489	0.4826991886
490	0.482561522
491	0.4824343718
492	0.4823025677
493	0.4820865101
494	0.4819397229
495	0.4818417353
496	0.4817988653
497	0.4817627173
498	0.4817207815
499	0.4816885176
500	0.4816510253
501	0.4815811579
502	0.4815423213
503	0.481403967
504	0.4812751357
505	0.4811498975
506	0.4811144218
507	0.4809762561
508	0.4809348796
509	0.4808960432
510	0.4808307685
511	0.4807273231
512	0.4806637654
513	0.4806254144
514	0.480392257
515	0.4803478565
516	0.4802383931
517	0.4802007513
518	0.4799205993
519	0.4798171702
520	0.4797163083
521	0.4796178726
522	0.4793981365
523	0.4792961269
524	0.4792193861
525	0.4791786076
526	0.4790243501
527	0.4789702021
528	0.4788415962
529	0.478747037
530	0.4786635754
531	0.4783941621
532	0.4783522634
533	0.4783214176
534	0.478285344
535	0.4782037746
536	0.478170129
537	0.4780400669
538	0.4779678415
539	0.4779324773
540	0.4779032006
541	0.4778440869
542	0.4778145861
543	0.4776871007
544	0.4776539778
545	0.4773212326
546	0.4772198282
547	0.4770844271
548	0.476990846
549	0.4769582451
550	0.476826726
551	0.4767022663
552	0.4766320557
553	0.4765972143
554	0.4764169189
555	0.4763842058
556	0.4762748904
557	0.4761997852
558	0.4761555711
559	0.4760416401
560	0.475954035
561	0.4758588119
562	0.4758014531
563	0.4756238889
564	0.4755599033
565	0.4754245224
566	0.4753673879
567	0.4752561824
568	0.4751347603
569	0.4751026082
570	0.4750750482
571	0.4749566003
572	0.4748268727
573	0.4747665261
574	0.4746533049
575	0.4746257449
576	0.4745256265
577	0.4744291355
578	0.4742961809
579	0.4742500616
580	0.4741908285
581	0.4740939261
582	0.4736266931
583	0.4735065878
584	0.4733895632
585	0.4733247681
586	0.4730790374
587	0.4729562936
588	0.4728741555
589	0.472800515
590	0.4727532008
591	0.472656707
592	0.4725397126
593	0.4724078563
594	0.4722863456
595	0.4721058385
596	0.4719903389
597	0.4719588582
598	0.4719143455
599	0.4718620548
600	0.4717772476
601	0.4716865045
602	0.4715469096
603	0.4715159909
604	0.4714501928
605	0.4713535065
606	0.4712489887
607	0.4709423298
608	0.4709003495
609	0.4708493024
610	0.4708186055
611	0.4707864148
612	0.4706680821
613	0.4706361535
614	0.4705883237
615	0.4704988123
616	0.4704688613
617	0.4702408604
618	0.4701446626
619	0.4701210243
620	0.4700420047
621	0.4699471892
622	0.4699144771
623	0.4698285762
624	0.4698003831
625	0.4697146061
626	0.46968391
627	0.4696308832
628	0.4695273484
629	0.4694293276
630	0.469404793
631	0.4693560973
632	0.4693100887
633	0.4692824561
634	0.469071679
635	0.4690413183
636	0.4690123025
637	0.4689120765
638	0.4688883644
639	0.4688038567
640	0.4687762225
641	0.4686101799
642	0.4685860187
643	0.468496138
644	0.4683362126
645	0.4682525286
646	0.4682249321
647	0.4681994266
648	0.4679714333
649	0.467945069
650	0.4678634746
651	0.4677441311
652	0.4676458751
653	0.4675614377
654	0.4674663954
655	0.4674107619
656	0.4673366005
657	0.4672888019
658	0.4672613558
659	0.4671826736
660	0.4671380848
661	0.4670865958
662	0.4669688927
663	0.4668930131
664	0.4668212393
665	0.4665652013
666	0.4664843927
667	0.466438087
668	0.4663059247
669	0.4662646603
670	0.4662086459
671	0.4661685391
672	0.4659808486
673	0.4659084478
674	0.4658421086
675	0.465816715
676	0.4657370657
677	0.465711634
678	0.4656278568
679	0.4655886468
680	0.4651368241
681	0.4651082566
682	0.4650326606
683	0.4649506586
684	0.4645020208
685	0.46428141
686	0.4642112809
687	0.4639444817
688	0.4638937201
689	0.4638067866
690	0.4637247074
691	0.4636225225
692	0.4635487328
693	0.4634641896
694	0.4633851717
695	0.4633322777
696	0.4632641645
697	0.4632388084
698	0.4631838454
699	0.4631277927
700	0.4630247656
701	0.4629338781
702	0.46290897
703	0.4628093053
704	0.4627872351
705	0.4627016782
706	0.4626349853
707	0.4626095544
708	0.4625537462
709	0.4624541747
710	0.462429528
711	0.4624093995
712	0.4623102527
713	0.4622868008
714	0.4621148844
715	0.4620918059
716	0.4620268287
717	0.4619773865
718	0.4619514692
719	0.4618855971
720	0.4618142731
721	0.4617273642
722	0.4616792377
723	0.4616388321
724	0.4616154548
725	0.4615393522
726	0.4614850793
727	0.4614148007
728	0.4613065018
729	0.4612252025
730	0.4611989872
731	0.461127513
732	0.4609673938
733	0.4609330374
734	0.4608679125
735	0.4606200576
736	0.4605479766
737	0.4604613014
738	0.460374371
739	0.4602924431
740	0.4602244424
741	0.4601604577
742	0.4601376033
743	0.4600653612
744	0.4600431422
745	0.4600088604
746	0.4599725257
747	0.4599512769
748	0.4599010718
749	0.4598420332
750	0.4598180584
751	0.4597927394
752	0.4593555202
753	0.4591917165
754	0.4591707672
755	0.4591504527
756	0.4591069991
757	0.459026925
758	0.4590032863
759	0.4589673248
760	0.4588981678
761	0.4588777786
762	0.4588532062
763	0.4586994332
764	0.4584792771
765	0.4582715746
766	0.4581970105
767	0.4581718781
768	0.4581325464
769	0.4580744032
770	0.4579839277
771	0.457924535
772	0.4578827101
773	0.457853096
774	0.4577906205
775	0.4577541356
776	0.457600819
777	0.4575174361
778	0.4574328597
779	0.4574128812
780	0.4573918563
781	0.4573724372
782	0.4572913662
783	0.457194037
784	0.4571186799
785	0.4570306639
786	0.4569941422
787	0.4568789254
788	0.4566590582
789	0.4566013897
790	0.4565512825
791	0.4565291748
792	0.4564533684
793	0.4564328291
794	0.4564133725
795	0.4563771878
796	0.4563582549
797	0.4562987667
798	0.4562734477
799	0.4562407342
800	0.4561693592
801	0.4560901045
802	0.4560711335
803	0.4560529848
804	0.4559960745
805	0.4559113259
806	0.455848688
807	0.4557954908
808	0.4555696009
809	0.4554906231
810	0.4554712412
811	0.4554270541
812	0.4550185977
813	0.4549420589
814	0.4548699153
815	0.454817
816	0.4547529188
817	0.4547323048
818	0.4546960812
819	0.4546277439
820	0.454563776
821	0.4544646162
822	0.4544229517
823	0.4543995379
824	0.454381463
825	0.4543202612
826	0.4542777015
827	0.4542432886
828	0.454227455
829	0.4541202034
830	0.454023016
831	0.4539962397
832	0.4539290985
833	0.4539114353
834	0.4538937711
835	0.4535567666
836	0.4534645344
837	0.4534479914
838	0.4533835015
839	0.4533692356
840	0.4533044097
841	0.4532470512
842	0.4531827868
843	0.4531587373
844	0.4531165389
845	0.4530523098
846	0.4530362139
847	0.4530229569
848	0.4530064513
849	0.4529680245
850	0.452623476
851	0.452577972
852	0.4523596774
853	0.4523419013
854	0.4522784562
855	0.4522610169
856	0.4522455185
857	0.452175385
858	0.4517990025
859	0.4517586311
860	0.4517216855
861	0.4516902798
862	0.4516171043
863	0.4516000011
864	0.4515550393
865	0.4515018647
866	0.4514481869
867	0.4512757937
868	0.451234865
869	0.4511833604
870	0.4511088096
871	0.4510729089
872	0.4510509886
873	0.4510359009
874	0.4509792365
875	0.4509311216
876	0.4509157727
877	0.4508999016
878	0.4507105111
879	0.4506684322
880	0.4505733493
881	0.4505578516
882	0.4505073641
883	0.4504897007
884	0.4504643624
885	0.450449761
886	0.4503770186
887	0.4503582714
888	0.4503239902
889	0.4503056165
890	0.4501265201
891	0.4501095663
892	0.4500833134
893	0.4497840035
894	0.4497701108
895	0.4497467341
896	0.4496953294
897	0.4496523599
898	0.4496343979
899	0.4494996942
900	0.4494509208
901	0.449121874
902	0.448972263
903	0.4489206924
904	0.4488818182
905	0.4488678514
906	0.4488220333
907	0.4486414694
908	0.4485759319
909	0.4485185009
910	0.4484375542
911	0.4484139865
912	0.448399609
913	0.448371376
914	0.4483440459
915	0.4482070601
916	0.4481923467
917	0.4481446968
918	0.4480929683
919	0.4480376236
920	0.4480222017
921	0.4479631706
922	0.4479204881
923	0.4478783454
924	0.4478499382
925	0.4477959068
926	0.4475979968
927	0.4475507817
928	0.4475032067
929	0.4474634643
930	0.4474234228
931	0.4473944442
932	0.4473803282
933	0.4473454335
934	0.4472295026
935	0.44699701
936	0.4469815123
937	0.4469709066
938	0.4467795499
939	0.4467489655
940	0.4467088298
941	0.4466600662
942	0.4466368015
943	0.4465648224
944	0.446271645
945	0.4462481555
946	0.4461921379
947	0.4461376555
948	0.4460876183
949	0.4460702528
950	0.4460187455
951	0.4457643401
952	0.4457488426
953	0.4457318139
954	0.4455540594
955	0.4455402422
956	0.4454854241
957	0.4454395719
958	0.4454269122
959	0.4453152177
960	0.4453022593
961	0.4452658114
962	0.4451885518
963	0.4451733903
964	0.4451055513
965	0.4450853106
966	0.4449963792
967	0.4449826367
968	0.4449710226
969	0.4449237838
970	0.4448678364
971	0.4448211942
972	0.4448089827
973	0.4447545369
974	0.4447381058
975	0.4446764179
976	0.4446507999
977	0.4446086065
978	0.4442967831
979	0.4442826672
980	0.4442560037
981	0.4441803244
982	0.444115263
983	0.4441035369
984	0.4440788432
985	0.4440398195
986	0.4440130186
987	0.4437803192
988	0.4437348347
989	0.4437100826
990	0.4436525842
991	0.4436160883
992	0.443567907
993	0.4435552473
994	0.4434702909
995	0.4432005885
996	0.4431738129
997	0.443153909
998	0.4431124969
999	0.4430750042
